Miejsce,id,lat,lon
al. Solidarności/Dworzec Wileński,100017988,52.2553,21.035776
al. Stanów Zjednoczonych S,100027264,52.23031,21.070719
al. Stanów Zjednoczonych N,100027263,52.23064,21.069704
Aleje Jerozolimskie/pl. Zawiszy S,100038471,52.2241974728794,20.9867549873988
Aleje Jerozolimskie/pl. Zawiszy N,100038470,52.2240947751839,20.9854544073892
Banacha/Żwirki i Wigury,100017990,52.21058,20.986546
Bazyliańska/Wysockiego,100018251,52.29122,21.01915
Belwederska,100026727,52.21154,21.026775
Czerniakowska - suma,,,
Czerniakowska W,100042112,52.1956176384173,21.0530367680864
Czerniakowska E,100042111,52.196010308743,21.0535333197057
Marsa,100038472,52.2507985366788,21.1473922991438
Marszałkowska/Metro Świętokrzyska,100023491,52.2359231849,21.0077606974
NSR Most Gdański CPR,100015254,52.260525,21.007986
NSR Most Gdański DDR,100015251,52.260445,21.007914
NSR Solec CPR,100015253,52.231167,21.042242
NSR Solec DDR,100015250,52.230988,21.041431
Praska ścieżka rekreacyjna,100015252,52.24011,21.03948
Świętokrzyska/Emilii Plater S,100023489,52.233852,21.00201
Świętokrzyska/Emilii Plater N,100023490,52.2338912228,21.0018517909
Targowa/Dworzec Wileński,100017989,52.254055,21.035517
Wybrzeże Helskie/Starzyńskiego,100034734,52.2620480441,21.0149154882
Wysockiego,100018250,52.290447,21.019197
Żwirki i Wigury/1 Sierpnia,100044505,52.1909074577038,20.9819375767212
Żwirki i Wigury/Trojdena E,100030132,52.205463,20.986628
Żwirki i Wigury/Trojdena W,100030131,52.205696,20.985958
